幼学琼林全鉴（珍藏版）, 著
五月的鲜花：庆祝上海解放七十周年版画作品集,上海图书馆中国文化名人手稿馆 编
童画香城,曾省建
日常非常：2014四川美术学院油画系第21届学生作品年展,李强，王朝刚
色铅笔美食绘技法从入门到精通（精讲版）,GOOD COLOR编辑部
色铅笔鲜花绘技法从入门到精通（精讲版）,GOOD COLOR编辑部
色铅笔蝶花绘技法从入门到精通（精讲版）,GOOD COLOR编辑部
零基础学色彩：色彩静物一本搞定,李家友
陈洪绶人物花鸟画谱,陈洪绶
黄公望山水画法,张德宁
王道 课件.素描头像1,李家友
素描基础技法 人物头像入门教程,暂缺作者
素描基础教程 零基础从起步到美院,谭基，罗凯中
见法涅槃：南北传《相应阿含经》百部对读,马洵侃，孙华
中医翻译研究教程,李照国
比较视域中的美育哲学,徐承
田英章田雪松硬笔楷书描临本：三十六计,田雪松
论语新学：基于时代的视角,李海峰
大学中庸（英汉双语大字版）,暂缺作者
大国速度 艰难起步：第一部完整讲述中国铁路发展史,杨红光
讲疏,李幸福
伤寒论语译,任应秋
话语理解中的指示行动动词研究,王春荣
瞿秋白,张树军
黄继光,军事科学院解放军党史军事研究中心
蔡和森,张树军
卢德铭,军事科学院解放军党史军史研究中心
赵一曼,张树军
白夕传：全二册,睿雨
神医凰后2（上下）,苏小暖
洛女赋（上下）,长亭落雪
诉尽相思君不知 上,随宇而安
将军恰恰甜,箫四娘
隋妃传,水叶晴丝
凤鸣长安,长安微暖
国色生香（上下）,笑佳人
被迫成为武林爱豆,八千桂酒
武林有娇气,白泽
东方画谱 壁画篇 永乐宫壁画二十 太乙八卦等诸仙,杨东胜
东方画谱 壁画篇 永乐宫壁画局部十三 三十二天帝君等诸仙,杨东胜
东方画谱 壁画篇 永乐宫壁画五 天篷大元帅等诸仙,杨东胜
东方画谱 壁画篇 永乐宫壁画十六 廿八星宿等诸仙,杨东胜
东方画谱 壁画篇 永乐宫壁画十九 白玉龟台九灵太真金母元君等诸仙,杨东胜
东方画谱 壁画篇 永乐宫壁画十四 南斗六星等诸仙,杨东胜
东方画谱 壁画篇 永乐宫壁画十一 东极青华太乙救苦天尊等诸仙,杨东胜
东方画谱 壁画篇 永乐宫壁画九 三十二天帝君等诸仙,杨东胜
东方画谱 壁画篇 永乐宫壁画八 天罡大圣等诸仙,杨东胜
东方画谱 壁画篇 永乐宫壁画十 南极长生大帝等诸仙,杨东胜
东方画谱 壁画篇 永乐宫壁画四 玉皇大帝等诸仙,杨东胜
东方画谱 壁画篇 法海寺壁画十八 文殊菩萨图,杨东胜
世说新语（无障碍阅读 精）,（南北朝）刘义庆
元曲三百首鉴赏（无障碍阅读 精）,（元）关汉卿
沈石溪十二生肖动物小说：蟒蛇的战争,沈石溪 等
沈石溪十二生肖动物小说：雄猴的战争,沈石溪 等
刀锋（精）,（英）威廉·萨默塞特·毛姆
严歌苓作品集：金陵十三钗,严歌苓
司空图二十四诗品曲解集注,林华
国际理解视域下的文化传播理论与实践：以中亚孔子学院为例,李建军，郭卫东，邓新，刘成，梁云
智无止境：道德经名句今悟,敬人
鬼谷子,（战国）鬼谷子
道德经,暂缺作者
永乐大典流传与辑佚新考,张升
中国著名帝王：武则天传（全新彩图版）,夏红梅
四十自述（大字版）,胡适
鸽子隧道,（英）约翰·勒卡雷（John le Carr…
梁漱溟传,金鸿儒
藏族姓氏文化,班戈纳木措文化丛书编委会
大雅千秋一脉延：南通范氏家族文化评传,邵盈午
精编说文解字（无障碍阅读 精）,（汉）许慎
世说新语一部能陪伴你一生的书！（全本全注全译）,（南朝·宋）刘义庆
传习录,（明）王阳明
英韵诗经 Book of Songs in English Rhyme,赵彦春
左传（精）,芮文浩 注
田满说文解字 卷4：享受朗读,陈田满
田满说文解字 卷2：品味语言,陈田满
儒藏 精华编27经部诗类,暂缺作者
儒藏精华编28经部诗类,暂缺作者
大学孝经,暂缺作者
四书五经故事（彩色版上下）,暂缺作者
海洋法学研究（第4辑）,薛桂芳 编
国际反恐合作法律机制研究,张屹
国际关系与国际法学刊（第八卷）,刘志云
公司法律问题的比较法与国际私法评判 国际商法系列丛书,邢钢
国际商法（第5版）,暂缺作者
职业安全权保护的国际法研究,卢芳华
国际公法学学习指南与习题集,何志鹏，孙璐，王彦志，姚莹
体系转型与规范重建：国际法律秩序发展研究,李杰豪
开放的中国与国际法,蒋小红
植物大战僵尸2机器人漫画·绝地大反击, 著
回收师, 著
三生三世十里桃花, 著
三生三世枕上书. 下, 著
江山作嫁：第一部（上下）, 著
吹不散眉弯, 著
一生一世美人骨, 著
三生三世枕上书（全二册）, 著
假装不无聊的N种方法, 著
澡堂与片场, 著
植物大战僵尸2·恐龙漫画 恐龙与奇迹之花（新版）, 著
愿余生与你相逢, 著
植物大战僵尸2武器秘密之你问我答科学漫画·细菌与病毒卷（新版）, 著
植物大战僵尸2武器秘密之神奇探知中国名城漫画·敦煌 银川（新版）, 著
逐光者, 著
南烟斋笔录小说：一曲三笙, 著
四库全书（全四册 插盒）,（清）
丛书集成初编（合订本 全八百册）, 编
曾国藩全书豪华精装（全六卷）, 主编
中华典故（函套装全二册）,，
中华家训（函套装全二册）, 主编
中华谚语（函套装全二册）,，
中华歇后语（函套装全二册）, 主编
四库全书精粹（文白对照·精注全译珍藏本 全四卷）, 等主编
藏修堂丛书（共15册）,（清）
功顺堂丛书, 著
后知不足斋丛书（共8册）,（清）
四书集注章句·四书通证,宋·
中国丛书综录（全三册）, 编
学海类编（全十册）,（清）
陆羽茶经,郑柔敏
大病都有小信号,朱宏
黑柳彻子眼中的理想教育,王彤
近代教育学的奠基人夸美纽斯,孙强
韩煜行书《岳阳楼记》《秋声赋》《放鹤亭记》,韩煜 书
米芾蜀素帖,暂缺作者
颜真卿争座位帖,暂缺作者
王羲之兰亭序,暂缺作者
苏轼黄州寒食帖,暂缺作者
黄庭坚松风阁诗帖,暂缺作者
苏轼尺牍,暂缺作者
神嫖（精装）,莫言
走甜,黄咏梅
大逐鹿（全三部）,温靖邦
制造好人,陈集益
通往天堂的路,畀愚
我永远忘不了那个夜晚,黄孝阳
茅盾文学奖获奖作品全集：南渡记 东藏记 西征记 北归记,宗璞
茅盾文学奖获奖作品全集：茶人三部曲（1-3）,王旭烽
茅盾文学奖获奖作品全集：都市风流,孙力，余小惠
国脉：谁寄锦书来,汪一洋
茅盾文学奖获奖作品全集：冬天里的春天（上下）,李国文
茅盾文学奖获奖作品全集：战争和人（1-3）,王火
茅盾文学奖获奖作品全集：推拿,毕飞宇
茅盾文学奖获奖作品全集：李自成（1-10）,姚雪垠
茅盾文学奖获奖作品全集：你在高原（1-10）,张炜
艺术文献集成：石渠随笔,[清] 
艺术文献集成：庚子销夏记,[清] 孙承泽 撰
艺术文献集成：四部总录艺术编,，
艺术文献集成：泛槎图（全三册）,[清] 
尼采：作为艺术的强力意志,[德] 弗里德里希·威廉·尼采 著，…
大卫里奥说艺术·先锋艺术,[意] 菲利普·大卫里奥 著，文铮  冯强…
大卫里奥说艺术·现代艺术,[意] 
大卫里奥说艺术三部曲,[意] 菲利普·大卫里奥 著，于添 郑昕…
彩铅技法入门教程：零基础学画画,谭基
佛陀造像画谱,暂缺作者
达摩钟馗画谱,暂缺作者
朝元仙仗图卷,暂缺作者
观音妙相画谱,暂缺作者
诸佛众神画谱,暂缺作者
拯救者的祭酒：柏拉图蒂迈欧的科学叙事,牛小兵
繁荣与衰退,（美）艾伦·格林斯潘，（美）阿德里安…
不平等社会：从石器时代到21世纪，人类如何应对不平等,（美）沃尔特·沙伊德尔（Walter Sche…
欧盟公平竞争审查制度研究,翟巍
知识产权法热点问题研究（第5卷）,冯晓青
未成年人保护立法汇编,腾讯研究院
学校与社会,（美）约翰·杜威
基础教育治理体系构建,郅庭瑾 等
明天的学校,（美）约翰·杜威
作为经验的艺术,（美）约翰·杜威
民主与教育,（美）约翰·杜威
法理情：法政哲思,余双彪
康熙敕建广仁寺,陈景富
英语研究论丛（2017）,暂缺作者
论语翻译与阐释（精）,史志康
马克思与《资本论》,卫兴华
张思德,军事科学院解放军党史军史研究中心
李大钊,张树军
邱少云,军事科学院解放军党史军史研究中心编写组
董存瑞,军事科学院解放军党史军史研究中心编写组
邓世昌,张海鹏
陈觉和赵云霄,张树军
女盟列传（上下）,青湘
咬定卿卿不放松 下卷,顾了之
爆笑小萌妃,连城
猎妖师,谭以牧
华音流韶7：雪嫁衣,步非烟
盛世繁华为君倾1（上中下）,锦凰
皓镧传（上中下）,尔笛原
庶女攻略1（第2版）,吱吱
大明锦衣卫之踏雪者2,君天
世间戏3,四藏
庶女攻略6（第2版）,吱吱
庶女攻略2（第2版）,吱吱
东方画谱 壁画篇 法海寺壁画十七 水月观音图,杨东胜
东方画谱 壁画篇 永乐宫壁画一 青龙星君等诸仙,杨东胜
东方画谱 壁画篇 法海寺壁画十二 西墙六菩萨等佛众,杨东胜
侬城逸事,李约热
人间失格,（日）太宰治
人生归途,余立功
紧急升空（上下）,桑甜
岱粹抄存合编/古籍书系（上下 精）,（清）王价藩，（民国）王亨豫
甘特先生,（印度）萨拉特·昌德拉·查特吉
晋乘搜略（全8册）,（清）康基田
清水罡风,邱鹤鸣
天亮夜湖边,宇星
中国丛书综录（全三册）,上海图书馆
老街坊,钱良营
平凡人生,罗建明
血缘,张国柱
英国版权法,张大伟
世界版权条约,张大伟
北京仲裁（第107辑）,北京仲裁委员会，北京国际仲裁中心
倾诉与呼唤：毒品滥用元叙事,莫关耀，杜敏菊，李万成
公诉案件办案思路指引,韦兴顺
经济犯罪兜底罪状解释研究,邓浩
新刑事诉讼法释义与公安实务指南（2019年版）,孙茂利
法律文化研究 第十二辑：家户法律传统专题,李伟
诉讼法学研究（第23卷）,暂缺作者
推进我国行业协会商会自律法制建设研究,杨鹏飞，李志强，黄来纪，廖明涛，詹德强
法学论文写作,张力
法学论文写作指南（第二版）,刘国涛，余晓龙 等
2017司法鉴定能力验证鉴定文书评析,司法部司法鉴定管理局 等
刑事抗诉书制作要义,崔玉珍
卫生行政执法文书使用指南,暂缺作者
裁判文书的语言、逻辑和理由研究,宋北平，孙长江 等
法律文书写作教程,暂缺作者
2020司法考试众合法考戴鹏民诉法真金题卷, 著
2020司法考试众合法考徐光华刑法真金题卷, 著
瑞达法考2020法律职业资格考试韩心怡讲民诉之真金题, 著
2020司法考试众合法考李佳行政法真金题卷, 著
2020司法考试众合法考郄鹏恩商经知法真金题卷, 著
2020年国家法律职业资格考试：刑法宝典, 著
瑞达法考2020法律职业资格考试李晗讲商经之精讲, 著
2020国家统一法律职业资格考试 命题人讲刑事诉讼法 桑磊法考命题人讲义系列 客观题,，
不可不知的中华国学经典：庄子,吴传富
孔子家语（世图版全新彩图版）,暂缺作者
儒藏 精华编192 子部儒学类性理之属,暂缺作者
梦溪笔谈全编（精）,（宋）沈括
孔子诗传,辛龙
道德经,（春秋）李聃
孔子大历史：初民、贵族与寡头们的早期华夏,李硕 著
庄子,陶玮
道德经,陶玮
满门风雅钟东山：苏州东山莫釐王氏家族文化评传,苏克勤
笔耕世业传家风：湖北浠水闻氏家族文化评传,蒋倩
风雨如晦松茂堂：泰州黄桥丁氏家族文化评传,苏克勤
龙山凤水毓锦绣：安徽怀宁邓氏家族文化评传,张春苗
衣披天下冀功成：广东番禺叶氏家族文化评传,王广勇
君子儒梅光迪（精装）,书同
施雅风手迹,刘潮海，蒲健辰
苏霍姆林斯基画传,李申申
裴斯泰洛齐画传,杨汉麟
不可不知的中华国学经典：大学 中庸,武芳
不可不知的中华国学经典：三字经 百家姓 千字文 弟子规,吴远琴
不可不知的中华国学经典：论语,马学永
易经校释译论,刘彬
左传注疏,（唐）孔颖达
诗经,暂缺作者
儒藏 精华编41 经部礼类周礼之属,暂缺作者
儒藏 精华编103 经部群经总义类,暂缺作者
儒藏 精华编39 经部礼类周礼之属,暂缺作者
儒藏 精华编40 经部礼类周礼之属,暂缺作者
国际私法的振扬之路,沈涓
多元视野下的中国国际私法,何其生
无害通过制度研究,张国斌
国际法研究札记,沈德咏
国际法上的领土取得,罗伯特-詹宁斯
国际法,周鲠生（陈一周）
国际法上的司法干涉问题研究,宋杰
领土主权与国际法,任虎
中国促进国际法治报告（2017年）,肖永平 冯洁菡
全球公共卫生治理中的国际机制分析,晋继勇
医学与国际关系,秦倩
九州·木石之墟, 著
夺梦2, 著
直男脱单指南, 著
凤唳九天（上下）, 著
公子多多见谅, 著
限定梦想公司, 著
无双·中, 著
无双·下, 著
黄金剑, 著
万艳书1·一梦金, 著
一年天下, 著
半缘修仙半缘君2：完结篇（共4册）, 著
植物大战僵尸2·恐龙漫画：恐龙与沙海王城（新版）, 著
鹤唳华亭（珍藏版）, 著
魏晋有美男, 编
来不及年轻就老了, 著
一生一世笑皇途：第一部（上中下）, 著
钦定四库全书荟要（珍藏版）,本社 编
影印四库全书珍本,本社 编
通识教育理论方法及中国实践,李会春
师道师说.李泽厚卷,李泽厚
大数据背景下高校教育管理信息化发展与创新研究,林榕
大数据时代下信息化教学的实践与应用,郝伟
中国全图（地形版 膜图 九全开专业挂图）,中国地图出版社
米芾尺牍,暂缺作者
王羲之十七帖,暂缺作者
怀仁集王羲之圣教序,暂缺作者
张旭古诗四帖,暂缺作者
一碑一帖 梁巘临集字圣教序,孙宝文
社会隔离应激刺激相关研究,殷盛明
楷书技法实训与创作（硬笔）,张秀
百年巨匠：于右任,祁硕森
厉培坚篆刻作品集（精）,厉培坚
敬其上,暂缺作者
望故乡：于右任书法三原故里特展,暂缺作者
牌匾（卷3）,暂缺作者
楹联（卷4）,暂缺作者
牌匾（卷4）,暂缺作者
楹联（卷5）,暂缺作者
小耕读记：我的抗争（第1辑）,小耕
小耕读记：吃的故事（第1辑）,小耕
小耕读记：亲情笔记（第1辑）,小耕
小耕读记：少年的远行（第1辑）,小耕
小耕读记：舌尖上的老师（第1辑）,小耕
小耕读记：那些年失去的小伙伴（第1辑）,小耕
小耕读记：母亲河（第1辑）,小耕
小耕读记：写给所有的生命（第1辑）,小耕
改革开放40年最有影响力的40部小说 中篇小说卷（每个时代代表作集锦）,王干
改革开放40年最有影响力的40部小说 短篇小说卷（每个时代代表作集锦）,王干
夜是怎样黑下来的（精装）,张楚
星期天早上的远足,苗炜
清风徐来,张新科
左岸右盼,姚中彬
艺术文献集成：王宠集,[明] 
艺术文献集成：李流芳集,[明] 
艺术文献集成：胡氏书画考三种,[清] 
跨文化美术史年鉴1：一个故事的两种讲法, 著
画外有音, 著
从告知到说服：中国广告设计百年档案, 著
中国传统戏曲服饰纹样, 著
福开森说中国艺术,[美] 
天生是个审美的人, 著
翻译技术教程（上）,暂缺作者
延安精神与外语学科时代使命：北京外国语大学2016年青年教师论文集,暂缺作者
职业化时代的口译研究教学与发展：第十一届全国口译大会暨国际口译研讨会论文集（汉英）,暂缺作者
方志敏,张树军
杨靖宇,中国人民解放军军事科学院
林觉民,张树军
物联网程序设计：基于微软的物联网解决方案,（美）大卫·克劳斯
黑暗时代三女哲：施泰因、阿伦特、韦伊评传,（法）西尔维·库尔廷-德纳米 著
朱杏南传,杨中华
袁枚正传：古代中国活得令人艳羡的大隐士,徐清祥
计算机网络搭建,孙岩松，邵洋
历世噶玛巴活佛传（藏文）,米玛次仁
埃莱娜 比奈：光影对话三十年,上海当代艺术博物馆 编著
回望丛书套装（共4本）,梁启勋，吴其昌，谭训聪，秋宗章，齐如山
汇编语言与接口技术,曾兰玲
恩格尔巴特的梦：计算机是如何减轻我们阅读和写作负担的 ,（德）亨宁-罗宾
鹿门歌（上中下）,凝陇
追妖二仙,白泽
温雪狼心,病鹤斋
蓬莱公主：凤华令（1）,张北斗
表妹万福,蓬莱客
百媚生（全2册）,明月珰
名相倾国（上下）,郁小词
倾世桃花印（全2册）,马莎莎
一世倾城9：再相遇（上下）,苏小暖
至尊女医（上中下）,凤炅
今非昔比（全2册 完结典藏版）,依秀答儿
至尊红娘：全2册,奕浅
恕难从命,唐源儿
风月不相关3：衔月篇,白鹭成双
剩饭,（印）翁普拉卡什·瓦尔密齐
远山绝恋,李锦华，李倩
寒门,吕翼
狼狐郡,李迎兵
东南西北四游记,王志冲
美丽村（日汉对照 有声版精装插图版 精）,（日）堀辰雄
OVERLORD.4 大坟墓的入侵者 两位领导者,（日）丸山黄金
OVERLORD.5 破军的魔法吟唱者 足智多谋的统治者,（日）丸山黄金
伤心咖啡馆之歌（译文经典）,（美）卡森·麦卡勒斯
德国民法总论（第41版）,（德）汉斯·布洛克斯，沃尔夫·迪…
农村诉讼法律理论与实践研究,张东晔，初晓旭
德国著作权法（第2版）,（德）图比亚斯·莱特（Tobias,Lettl）…
民事诉讼法学,暂缺作者
北大法律评论（第18卷 第2辑）,《北大法律评论》编辑委员会
中国法律史,朱勇
中国法律史,赵晓耕
如何解答法律题：解题三段论、正确的表达和格式（第11版增补本）, 著
法律文书学（第三版）,，
北京法院优秀裁判文书精选,暂缺作者
人民法院诉讼文书样式、制作与范例（刑事卷 全新升级版）,司法文书研究中心
中国环境司法发展报告（2015-2017）, 著
文书物证司法鉴定理论与实务,暂缺作者
优秀仲裁裁决书赏析,北京仲裁委员会 北京国际仲裁中心 编
常用法律文书实务教程（藏汉对照）,政法系统藏汉双语法律人才培训系列教材编审…
2018年版公安文书写作与训练,暂缺作者
公安机关刑事法律文书制作指南与范例,暂缺作者
优秀说理检察法律文书,最高人民检察院 著
公安问话笔录制作与案卷审阅（修订版）, 著
西行1+1,，
公安行政法律文书制作与范例（2019年版）,，
法律文书写作, 著
2020国家统一法律职业资格考试 命题人讲经济法、三国法 桑磊法考命题人讲义系列 客观题,，
2020国家统一法律职业资格考试 命题人讲理论法 桑磊法考命题人讲义系列 客观题,，
2020国家统一法律职业资格考试 命题人讲民事诉讼法与仲裁制度 桑磊法考命题人讲义系列 客观题,，
2020国家统一法律职业资格考试 命题人讲义系列桑磊法考司法考试教材客观题 前命题人作者（全八册）,，
2020国家统一法律职业资格考试 命题人讲民法 桑磊法考命题人讲义系列 客观题,，
2020国家统一法律职业资格考试 命题人讲刑法 桑磊法考命题人讲义系列 客观题,，
2020国家统一法律职业资格考试 命题人讲理论法 桑磊法考命题人讲义系列 客观题,，
2020国家统一法律职业资格考试 命题人讲商法 桑磊法考命题人讲义系列 客观题,，
2020国家统一法律职业资格考试万国专题讲座·讲义版—商法.经济法.环境资源法.劳动社保法.知识产权法,邓金华 著，北京万国学校教研中心 编
2020国家统一法律职业资格考试万国专题讲座·讲义版—理论法学.司法制度,叶晓川 著，北京万国学校教研中心 编
2020国家统一法律职业资格考试万国专题讲座·讲义版—民法,王立争 著，北京万国学校教研中心 编
瑞达法考2020法律职业资格考试刘凤科讲刑法之真金题, 著
瑞达法考2020法律职业资格考试宋光明讲理论之精讲, 著
司法考试2020 国家统一法律职业资格考试：客观题题库汇编及详解（全6册）,法律考试中心 著
司法行政典型案例评析,陈凯，李春燕，叶建丰 编
改革中的检察制度研究,王梓，张承思，郑莉
问学录三鱼堂胜言：子海精华编（精）,（清）陆陇其，王承略，聂济冬
向五位大师学做教师：孔子、陶行知、叶圣陶、苏霍姆林斯基、马卡连柯的为师之道,暂缺作者
梦溪笔谈,（北宋）沈括
二程集,（宋）程颢，（宋）程颐
虞世南孔子庙堂碑破邪论序,暂缺作者
赵孟頫小楷道德经 汲黯传,陈晓勇
唐虞世南书孔子庙堂碑（修订版）,暂缺作者
吕氏春秋（足本典藏）,（战国）吕不韦
孔子与朽木：中国传统思想的现代诠释,董铁柱
吕氏春秋,（战国）吕不韦
六韬.三略,（汉）黄石公
道德经新诠释,姜祖桐
梦溪笔谈,（宋）沈括
孔子六艺（射汉英）,孔维忠，袁学萍
庄子（第2辑）,张庆利
社会变迁中的刑法发展,暂缺作者
《中华民国临时约法》的新理想与旧思维,沈桥林
刑法及司法解释新编（含请示答复及指导案例 2019年最新版）,中国法制出版社
民法及司法解释新编（含请示答复及指导案例 2019年最新版）,中国法制出版社
欧盟的危机：关于欧洲宪法的思考,（德）尤尔根·哈贝马斯
民商事再审典型案例及审判经验,郑学林
公司法司法解释及司法观点全编,辑中心
HR法律答案之书, 著
从典型案例看行政机关在行政诉讼中败诉风险的防范, 著
行政法判例选析（Ⅱ）, 著
建设工程施工合同司法解释：条文适用·关联规则·典型案例（二）, 著
商业地产, 著
婚姻家庭, 著
挂靠的代价,廖志敏
法学教育研究（第二十四卷 2019）,杨宗科
天下 博观 古代法,（英）亨利·梅因
价格宏观调控法律制度研究,田杨
法治安徽建设年度报告（2017）,暂缺作者
立法前沿（第二辑）,朱新力
中国法学教育研究（2018年第4辑）,暂缺作者
孔子画传,广少奎，彭冉 等
郭秉文画传,周洪宇，李永
我这一辈子,老舍
艺术之路：陕北歌王-王向荣,霍文多
复兴交大的榜样力量：西南交通大学扬华人物访谈录,高平平
新镌彩绘诗经名物笺谱（精）,李明飞
孝经笠翁对韵幼学琼林,暂缺作者
说文解字,陈亦儒
诗经,陈亦儒
童子易说,徐其怀
桑之未落其叶沃若（诗经选楷行对照）,田雪松
礼记,（西汉）戴圣
儒藏 精华编88 经部春秋类公羊传之属 精,暂缺作者
海上共同开发国际法理论与实践研究,杨泽伟
若干制度评价与实施问题研究,杨泽伟
中国国际商务法律人才培养研究,蒙启红，龙迎湘
领土争端解决中的有效控制规则研究,宋岩
国际法：作为法律的存在和发展,古祖雪
国际法视野下的反腐败与人权保障,杨松才，毕颖茜，李思
巴黎地下铁,姚中彬
明人日记：出镜,安谅
反盗墓九组：明王密藏,赖继
数字化阅读设计,[英] 詹妮弗·帕尔森 等著，张桂莲 等…
纠结与超脱：申伟光油画作品评论集, 著
马修·巴尼：堡垒,文化艺术出版社 编
观·物：哲学与艺术中的视觉问题, 著
温练昌文集, 编
批判性设计及其语境：历史、理论和实践,【英】马特·马尔帕斯 著，张黎 译
看名画的眼睛：隐藏在名画中的疑案,[日] 
转译：传统文化元素与油画创作教学, 著
草木人生：汪曾祺传,陆建华
刘少奇年谱（第1卷 增订本）,暂缺作者
刘少奇年谱（第2卷 增订版）,暂缺作者
我用尽青春只为寻你：徐志摩传（精装版）,白落梅
世说新语（彩色版）,暂缺作者
浙江文从：管庭芬诗文（精装繁体竖排）,（清）管庭芬
民国春秋演义,许啸天
清史演义（全2册）,陆士谔
元史演义,田腾蛟
方与圆,志舒
佩恩先生,（智利）罗贝托·波拉尼奥
太山飞虎,孟志平
去洞庭,郑小驴 著
文学少女：见习生的伤心,（日）野村美月
非讼法理在诉讼程序中的适用,孙永军
法律文明史：中华法系（第7卷）,何勤华，钱泳宏 等
中国公证史编年（1902-1979）,蔡煜
地方法制评论（第4卷）,葛洪义
以色列游说集团与美国对外政策,（美）约翰·J.米尔斯海默，斯蒂芬…
证据法学论丛（第7卷）,暂缺作者
行政诉讼制度研究,穆云红
法史问津,刘玉堂
中国法律制度史讲课实录,丁凌华
一带一路建设中的涉柬埔寨法律服务,江苏漫修律师事务所
犯罪心理测试技术,顾红梅
陕甘宁边区法制史概论,马成
法律史学人的坚守与追寻,李林，陈甦
法律文书情境写作教程（第五版）,郭林虎 主编
法律文书革故与鼎新, 著
法律写作简明指南,[美] 凯蒂.罗丝.格斯特.普瑞尔（Katie Ros…
廊坊水文水资源实用指南,刘同僧，柴文豪，乔光建 等
2016司法鉴定能力验证鉴定文书评析,司法部司法鉴定科学技术研究所
刑事法律思维表达与文书写作, 著
苦寒磨砺筑方圆：律师写作技能提升之道, 著
瑞达法考2020法律职业资格考试韩心怡讲民诉之精讲, 著
2020年国家统一法律职业资格考试瑞达法考杨帆讲三国法之真金题, 著
2020方圆众合必读法律法规汇编全8册分科法条,众合教育 著
2020国家统一法律职业资格考试法律法规汇编（主观题考试专用 飞跃版）,飞跃考试辅导中心 著
2020年众合法考孟献贵民法专题讲座精讲卷, 著
司法考试2020众合法考李曰龙三国法专题讲座精讲卷, 著
司法考试2020众合法考李佳行政法专题讲座精讲卷, 著
司法考试2020众合法考戴鹏民事诉讼法专题讲座精讲卷, 著
司法考试2020众合法考马峰理论法专题讲座精讲卷, 著
司法考试2020众合法考郄鹏恩商经知专题讲座精讲卷, 著
司法考试2020瑞达法考 国家统一法律职业资格考试 杨帆讲三国法之精讲, 著
劳动纠纷疑难解答与自助维权指南,杨建功，李军，范培红
民商事办案法律规范适用全典（六卷本）,司伟
纪律审查常用法规分类手册（第3版 精）,暂缺作者
公安机关常用法律政策全典,中国法制出版社
法律工作手册（2019年第1辑）,本书编写组
检察理论研究与司法实务（第2辑）,暂缺作者
上市公司信息披露法律规制研究,程茂军
检察技术与信息化（2018年第4辑总第30辑）,张雪樵
见证检察四十年,暂缺作者
瓮安县司法行政志（1980-2015 精）,暂缺作者
论罪犯观,孟庆丰
厦门法学文库系列（2018年卷）,厦门市法学会
北京律师发展报告（2018No.4）,庞正忠，冉井富，陈宜
老子（第2辑）,张庆利
道德经浅读,张江红
孔子（汉英对照）,制组
硬笔临经典碑帖通临描红本—赵孟頫道德经,朱虹 编
虞世南孔子庙堂碑实用技法与练习,刘洪霞
六韬三略李卫公问对（足本典藏）,（周）姜尚，（汉）黄石公，（唐）李靖
鬼谷子（共8册 全译诠注 精）,（战国）鬼谷子
祝允明书道德经（精）,（明）祝允明
诸子百家（全4卷）,（战国）孟子
四书五经（全4卷）,（春秋）孔子
汉印偶存 姚氏印存（繁体竖排 宣纸线装 一函一册）,（清）姚觐元 辑
世说新语（无障碍阅读 精）,（南北朝）刘义庆
走向理由之治：行政说明理由制度之透视,苏宇
南开国际法经济法和民商法论集：祝贺高尔森教授九十寿辰专辑,暂缺作者
2018中国林业知识产权年度报告,国家林业和草原局科技发展中心，知识产权研…
刑法办案法律规范适用指引,徐建伟
刑法全厚细（第五版）,冯江
改革开放40年法律制度变迁：刑事诉讼法卷,卞建林
刑法总论案例教程,张波
劳动法及司法解释新编（含请示答复及指导案例 2019年最新版）,中国法制出版社
侵权责任法及司法解释新编（含请示答复及指导案例 2019年最新版）,中国法制出版社
中华人民共和国社会保险法 工伤保险条例 失业保险条例（2019年版）,中国法制出版社
公司法及司法解释新编（含请示答复及指导案例 2019年最新版）,中国法制出版社
劳动法实务,姚会平 编
诉讼时效审判实务与疑难问题解析：以《民法总则》诉讼时效制度及司法解释为核心,张雪楳
解读最高人民法院司法解释 民事卷（含指导性案例）,人民法院出版社
解读最高人民法院司法解释 商事卷（含指导性案例）,人民法院出版社
法官视野中的案例研究：能力建设与方法探索,黄文俊
解读最高人民法院司法指导性文件  刑事卷,人民法院出版社
解读最高人民法院司法指导性文件   综合卷,人民法院出版社
中国法院2019年度案例系列（全23册）,国家法官学院案例开发研究中心
民事诉讼时效司法解释及司法观点全编,辑中心
麻醉纠纷案例的司法判决及医学思考,暂缺作者
中国法院2019年度案例 知识产权纠纷,国家法官学院案例开发研究中心
中国法院2019年度案例 执行案例,国家法官学院案例开发研究中心
中国法院2019年度案例 买卖合同纠纷,国家法官学院案例开发研究中心
行政公益诉讼典型案例实务指引：生态环境 资源保护领域（上下册）,最高人民检察院第八检察厅
民事公益诉讼典型案例实务指引,最高人民检察院第八检察厅
中公教育2020山东省公务员录用考试教材：行政职业能力测验,李永新
中公教育2020山东省事业单位公开招聘工作人员考试教材：全真模拟试卷公共基础知识,李永新
ICT互联网软件, 著
高管法律风险防控实务操作与案例指引, 著
矿产资源, 著
法庭科学：让证据说话（犯罪现场蛛丝马迹探秘）, 著
产权法治研究 第5卷第1辑：总第6辑, 编
图解并购重组：法律实务操作要点与难点, 著
谁在犯罪,暂缺作者
不可不知的1000个法律常识（精装）,暂缺作者
广西审判实务与探索（2019年第3辑 总第13辑）, 著
村镇社区整体性治理的北仑实践,叶笑云
中国传统民事法律的近代转型和未来展望,郑显文
高校法学教育改革与法律人才培养模式研究,张莉莉，王伟伟
