幼学琼林全鉴（珍藏版）, 著
基于区块链的物联网项目开发,（巴西）马克西米利亚诺·桑托斯
2019厚大法考司法考试国家法律职业资格考试法考应试特训集,厚大图书研发中心
2019厚大法考司法考试国家法律职业资格考试 杨烁讲民法,杨烁
2019厚大法考司法考试国家法律职业资格考试 段庆喜讲三国法,段庆喜
2019厚大法考司法考试国家法律职业资格考试 王小龙讲商经法,王小龙
2019全国会计专业技术资格考试大纲配套教材：经济法（中级会计资格）,暂缺作者
2019全国会计专业技术资格考试大纲配套教材：财务管理（中级会计资格）,暂缺作者
2019全国会计专业技术资格考试大纲配套教材：中级会计实务（中级会计资格）,暂缺作者
四年真题精解,任汝芬
2019年 高顿财经注册税务师考试 做题有套路 税法Ⅰ,高顿财经研究院
2019教材 高顿财经税务师考试 做题有套路 涉税服务相关法律,高顿财经研究院
2019年 高顿财经注册税务师考试 做题有套路 税法Ⅱ,高顿财经研究院
同一与他者：里尔克与卡夫卡之争的哲学阐释,唐妙琴
元末明初婺学三家思想特色及影响,顾旭明
《古文观止》导读,张忠曼
哈佛成功申请文50篇（第5版）,哈佛校报编委会
小猫迷你（精）,（奥）赫尔嘎·班石
老鼠冤家（精）,（奥）赫尔嘎·班石
找妈妈（精）,英娃
蓝色蜜蜂（精）,英娃
名言警句,储竞
梦想咖啡馆创业秘笈,侯国全，林子晴
大学生就业过程中的偶然事件研究,吕翠
未来不慌张：摆脱固化思维，获得先人一步的竞争力,忘机
创业管理基础教程,暂缺作者
意识大百科,（美）帕特里夏·丹尼尔斯
创新与创业管理（第19辑）,陈劲，高建
高校创新创业人才培养模式研究,潘斌
岭东日报潮嘉新闻梅州客家侨乡史料选编（上下）,暂缺作者
清代徽州祭祖研究,何巧云
清代职官年表（全4册）,钱实甫
近代中西医的博弈：中医抗菌史,皮国立
中国史纲,张荫麟
华文全球史018 拜占庭帝国史（精装）,（英）查尔斯·欧曼
华文全球史016 美国内战史：1861—1865（精装）,（美）詹姆斯·福特·罗德斯
华文全球史017 阿育王：一部孔雀王国史（精装）,（英）文森特·亚瑟·史密斯
简明大历史,（美）大卫·克里斯蒂安
19世纪大转型,（德）贡德·弗兰克
洪山宝通寺志长春观志（精）,（清）天正
唐人街：毛岛往事,（法）帕斯卡尔·修
甘蔗收割者：圭亚那契约华工史,特里夫·苏阿冠
澳新军团中的华裔军人：1885-1919,（澳）康爱德
古城辰阳,暂缺作者
杭州色调：第6季四大调,祁达
读有所得（100）,中共湖南省委宣传部指导 《读有所得》编辑…
中国女性的20世纪：近现代父权制研究,（日）白水纪子
新媒体与社会发展,方伟
多国手语入门,卢苇
标点符号用法90题（大字版）,刘一玲
让数据说话：辅导员工作调研方法研究,暂缺作者
知识经济时代下企业人力资源管理,吴玥
新时代怎样做好发展党员工作,张晨裴浩
绝知此事要躬行：新时代大学生主题调研报告,陈松
群体制裁对经销商窜货意愿的抑制作用研究：基于社会网络的视角,马斌
中国自由贸易试验区发展报告（2019版2018-2019）,暂缺作者
当我遇见一个人：维吉尼亚-萨提亚演讲集（第二版）,（加拿大）约翰·贝曼
中国智造,共青团中央网络影视中心，中国青年网
机械制图与AutoCAD,暂缺作者
液压气动标准汇编：通用卷,暂缺作者
液压气动标准汇编：液压传动和控制卷（上）,暂缺作者
液压气动标准汇编：密封装置卷,暂缺作者
残余应力基础理论及应用,高玉魁
注塑机使用维修200例,李培元，谢鹏程
政府采购招标实务与案例,姜晨光
国家认监委实验室能力验证技术报告汇编,暂缺作者
采矿概论,王子云，渠爱巧
元素周期表传奇,修·奥尔德西·威廉姆斯
中国家庭金融租赁研究,甘犁
2019年 高顿财经注册税务师考试 做题有套路 财务与会计,高顿财经研究院
2019年 高顿财经注册税务师考试 做题有套路 涉税服务实务,高顿财经研究院
2019年版全国一级建造师执业资格考试 市政公用工程管理与实务精灵口袋书,史梁玉，学天教育建工事业部
2019年版全国一级建造师执业资格考试 公路工程管理与实务一次通关,张铭
淘宝天猫运营一本通,周有贵，史庆滨
便携背题本：政治（全1册通用第7版浙江卷）,暂缺作者
便携背题本：化学（全1册通用第7版浙江卷）,暂缺作者
便携背题本：生物（全1册通用第7版浙江卷）,暂缺作者
便携背题本：技术（全1册通用第7版浙江卷）,开明出版社 编
便携背题本：物理（全1册通用第7版浙江卷）,开明出版社 编
便携背题本：语文（全1册通用第7版浙江卷）,开明出版社 编
KISS专四历年真题,马德高
长度计量器具建标指南（JJF1033-2016计量标准考核规范实施与应用）,暂缺作者
2018年全国专利代理人 资格考试试题解析,国家知识产权局专利代理师考试委员会办公室…
中级会计实务（中级2019全国会计专业技术资格考试辅导用书）,暂缺作者
《史记》导读,熊静
《论语》导读,王丽丽
《诗经》导读,李雅
《唐诗三百首》导读,李歆
中国共产党是怎样执政的（法文版）,暂缺作者
重温入党誓词,梅黎明 著
新编党支部工作一本通,陈永法 编著
做忠诚干净担当的好党员好干部,吴春晖
新时代怎样当好党支部书记,张晨郑国彩
人工智能技术进步劳动就业的影响研究,沈红兵
高校问卷调查研究方法与实践,唐美玲，王雁，王明晖
就业蓝皮书：2019年中国高职高专生就业报告,暂缺作者
新时代高校媒体创新发展研究,郑淑花
你若不勇敢.谁替你坚强,王淑清
打出人生最好牌,林大有
我热爱这拼尽全力的每一天,雾满拦江
西藏.心灵有约：张留成雪域山水创作研究访谈,张留成
口述实录：武汉经济技术开发区30年1988-2018,暂缺作者
蔚县记忆,宋苗，方子春
山右石刻丛编（全16册）,（清）胡聘之，（清）胡延
都江堰市考古资料集（精）,暂缺作者
睡虎地秦简文字集释,夏利亚
重生  巴洛克时期的西里西亚：波兰弗罗茨瓦夫国立博物馆馆藏精品展,首都博物馆
莫高窟密道：画神史小玉,高砍柴
日本长崎粤籍华侨史料选辑,张应龙
新编典型材料写作方法与范例,李和忠
高绩效心智：拉开彼此差距的关键因素,安妮
所有命运赠送的礼物，早已在暗中标好了价格,徐多多
系统制胜：一流团队靠系统,潘俊贤
荆棘商海,许洪焱
梁衡谈历史名人（大字版）,梁衡
梁衡谈当代伟人（大字版）,梁衡
沐习习春风,丁品森
社交礼仪（第五版）,林友华
环球追梦十万里,小白
农村优秀教师职业生涯与成长模式：基于质性资料的收集与分析,林李楠，吴佳莉
文化价值观与会计准则应用,胡本源
企业博物馆2.0：从理论走向实践,王波
大众创业万众创新实践与探索：以青海为例,孙发平，张立群
人力资源成本管控,任康磊
企业内部审计实务详解 审计程序 实战技法 案例解析,企业内部审计编审委员会
从PMP到卓越项目经理：项目管理实战技巧与案例解析（第2版 修订版）,（美）琳达-克雷兹-扎瓦尔，特里-瓦格纳
高校人力资源与行政改革研究,董彦霞
公共文化服务标准体系研究,李小涛
挫折到转折：浙商精神与管理学思考,朱桂平
国家文化贸易发展研究,冯洁
服务质量屋的改进与应用研究,王砚羽
走遍全球：中美洲,辑室
肠子的小心思（增订版）,（德）朱莉娅·恩德斯 著，（德）吉尔…
中国体育非物质文化遗产（山东卷）,陈小蓉
中国PPP蓝皮书：中国PPP行业发展报告（2018~2019）,暂缺作者
夏传太极十三势,郭玉华
振兴乡村旅游理论与实践（精）,赵皇根，宋炼钢，陈韬
中国一带一路投资安全研究报告（2019）,暂缺作者
便携背题本：历史（全1册通用第7版浙江卷）,暂缺作者
热力学建筑原型,李麟学
中国天然气产业可持续发展系统标度及优化研究,孙仁金，曹峰
书籍设计教程,姚相君
设计研究新范式2：《装饰》海外论文精选,方晓风
纺织品与皮肤,暂缺作者
中国棉纺织行业2018年度发展研究报告,暂缺作者
变压器国家标准汇编：产品卷,暂缺作者
水泵及泵系统（精）,James B.Rishel
2018\2019中国纺织工业发展报告,暂缺作者
染料品种大全（上下 精）,暂缺作者
电力设备用六氟化硫的检测与监督,电力行业电力用油，气分析检验人员考核委员…
暖暖小时光：创意花卉水彩教程,麦茶超人-Miro
丹增唐卡艺术,贾德江
绚丽美风景,任君
可爱动物绘,张寅雪
悠闲下午茶,任君
水彩时光手绘套装（全4册）,董梦迪，张寅雪，任君
手绘新课堂 水彩动物,潘小欧
手绘新课堂 水彩女孩,潘小欧
爱丽丝的食谱绘：法式美食水彩技法步骤详解,豆子
